STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,CLIMATE_ZONE
SPE00156576,41.1039,1.2008,5.0,"TARRAGONA COMPLEX EDUCATIU, SP",22.22374954362906,12.752008032128513,0.0,7189.8,9.471741511500547,0.0,70,10,Frío-Húmedo
SPE00156585,41.6667,1.1653,427.0,"TARREGA, SP",20.860925012752933,9.440435300119027,0.0,6457.9,11.420489712633906,0.0,488,279,Frío-Húmedo
SPE00156594,41.1467,1.4181,2.0,"TORREDEMBARRA, SP",21.601156265941164,12.74176160516919,0.0,8034.8,8.859394660771978,0.0,31,3,Frío-Húmedo
SPM00008284,39.489,-0.482,68.6,"VALENCIA, SP",22.476587469947674,7.390984302078914,17.30776410691557,15414.2,15.08560316786876,106807.6,6150,162,Templado-Húmedo
SPM00008359,38.367,-0.5,82.0,"ALICANTE, SP",23.709024179620034,11.36316925734024,19.093911917098445,1737.0,12.345854922279793,21192.3,637,36,Cálido-Húmedo
SPM00008360,38.282,-0.558,43.3,"ALICANTE, SP",22.641696515792898,8.40767665255617,18.050309345490067,8814.6,14.234019863236732,100005.2,4699,111,Cálido-Húmedo
SPM00008420,37.133,-3.617,717.0,"GRANADA ARMILLA, SP",11.485483870967743,1.721774193548387,9.92741935483871,161.4,9.763709677419355,256.9,93,2,Frío-Seco
SPW00013024,37.174917,-5.615944,86.9,"MORON DE LA FRONTERA, SP",23.93557658848911,7.379581042522096,14.008998538520425,18851.8,16.55599554596701,95600.7,5528,1920,Templado-Húmedo
SPW00013025,36.65,-6.35,25.6,"ROTA NAS, SP",22.62102422492783,12.94025982176478,0.5531630475712314,23456.1,9.680764403163046,3937.7,186,412,Frío-Húmedo
SPW00014010,41.666242,-1.041553,263.0,"ZARAGOZA, SP",19.980328979793,5.198355101034992,12.559807787087234,15432.4,14.78197387875801,81080.8,8241,817,Templado-Húmedo
SPW00014011,40.496747,-3.445872,617.5,"TORREJON, SP",17.31736555318645,6.8987917555081735,1.328524046434494,6813.0,10.418573797678276,1376.7,983,123,Frío-Húmedo
