YEAR,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,RAIN_DAY
1922,19.76150767178119,9.522148098732488,0.0,2138.8,10.239359573048699,0.0,129,53,225
1923,19.75831853167555,9.566370633510953,0.0,1777.2,10.191947898164594,0.0,160,108,245
1924,19.141545667447307,9.634145199063232,0.0,2754.6,9.507400468384075,0.0,233,49,346
1925,19.134195274186357,9.176950512706197,0.0,2700.2,9.95724476148016,0.0,235,38,321
1926,20.747506799637353,10.387987307343609,0.0,3238.8,10.359519492293744,0.0,144,72,320
1927,20.29940801457195,10.21448087431694,0.0,2604.9,10.08492714025501,0.0,156,55,317
1928,19.282753824756607,9.716133518776077,0.0,3503.1,9.566620305980528,0.0,198,95,384
1929,18.706422454804947,9.20837297811608,0.0,3151.2,9.498049476688868,0.0,199,29,363
1930,18.819190600522195,9.618363794604004,0.0,4628.2,9.20082680591819,0.0,196,46,481
1931,19.775335365853657,10.15951219512195,0.0,4331.6,9.615823170731709,0.0,211,66,503
1932,19.107062237987744,10.302837794259915,0.0,5511.6,8.804224443727831,0.0,161,32,572
1933,19.340692780835223,10.110229847847199,0.0,5182.8,9.230462932988022,0.0,238,48,567
1934,19.328806333739344,10.02037149817296,0.0,4256.3,9.308434835566382,0.0,292,51,558
1935,18.820950965824665,9.78668647845468,0.0,4993.1,9.034264487369985,0.0,382,73,625
1936,18.2169696969697,9.523363636363635,0.0,7555.9,8.693606060606061,0.0,388,61,842
1937,18.738315318673127,10.143682445024227,0.0,5301.3,8.594632873648901,0.0,185,27,615
1938,18.653858218318696,8.74033877038896,0.0,4175.3,9.913519447929737,0.0,345,40,539
1939,18.064090644973852,9.152847181871005,0.0,6163.9,8.911243463102847,0.0,334,25,795
1940,18.434483674011148,8.839686753384656,0.0,6152.7,9.594796920626493,0.0,398,34,757
1941,18.3925284629981,9.010388994307402,0.0,7868.9,9.382139468690701,0.0,451,78,903
1942,19.241289617486338,9.334207650273225,0.0,7958.9,9.907081967213115,0.0,668,105,895
1943,19.26280774290547,9.689080999812065,0.0,8233.3,9.573726743093404,0.0,526,155,979
1944,18.605593300679413,8.458603254858588,0.0,8166.5,10.146990045820825,0.0,926,71,964
1945,20.12284543475477,9.120630042258933,0.0,9773.5,11.002215392495838,0.0,904,162,1085
1946,17.700640315232114,7.927508927471987,0.0,15437.7,9.77313138776013,0.0,1216,175,1821
1947,18.852322796934867,9.046012931034483,0.0,16424.9,9.806309865900383,0.0,989,162,1773
1948,19.29397506118168,8.955005244144038,0.0,14199.6,10.338969817037642,0.0,741,112,1579
1949,19.27222858451672,9.024118185982594,0.0,14771.9,10.248110398534127,0.0,1095,272,1629
1950,19.145170454545454,8.707930871212122,0.0,13956.9,10.437239583333334,0.0,1011,213,1430
1951,17.25224743150685,7.938238441780821,0.0,23471.6,9.314008989726029,0.0,1388,126,2591
1952,18.065159781761494,8.359781761496492,0.0,20634.1,9.705378020265004,0.0,1577,161,2407
1953,18.759655631659058,8.309731735159817,0.0,19207.4,10.44992389649924,0.0,1732,323,2027
1954,17.812585291887792,7.888542456406368,0.0,18111.5,9.924042835481425,0.0,1730,196,2116
1955,18.676126331118596,9.295958860471465,0.0,25390.6,9.380167470647129,0.0,1450,210,2752
1956,16.930785105428445,7.504396590399282,0.0,22567.3,9.426388515029162,0.0,2134,141,2627
1957,17.882223962411903,8.256860697816062,0.0,21333.5,9.62536326459584,0.0,1884,296,2505
1958,18.439771054783318,8.830351594439902,0.0,26422.4,9.609419460343418,0.0,1786,260,2792
1959,18.376295206381165,9.365538604507085,0.10814682877720128,31966.9,9.01075660187408,446.5,1455,296,3436
1960,18.10284278427843,9.057350735073507,0.4274602460246024,36973.2,9.04549204920492,2440.7,1709,321,3755
1961,20.293902097902098,9.843636363636364,0.7775524475524476,30529.2,10.450265734265733,4760.2,1097,356,2988
1962,19.376575361907467,9.167385750780586,0.4917258018734033,30439.9,10.209189611126881,2340.5,1695,514,2928
1963,18.65023883113234,8.932902500702445,0.0,35760.7,9.717336330429896,0.0,1437,247,3732
